customer_id,用户价值分层,地域标签,偏好一级品类,满意度标签,获客渠道标签
27a878219114302047d41366ffeeba1e,低价值流失风险用户,东南核心经济区,pet_shop,高满意用户,organic_search
14c1e4101ca2dc7dbf876d9c9e6b11a6,新客一次性用户,东南核心经济区,garden_tools,低满意投诉风险,organic_search
bcd15e6f5399f2899de4482cf6783dae,潜力增长用户,东南核心经济区,pet_shop,高满意用户,organic_search
5c232e92346113f68998cf6395eb457f,新客一次性用户,南部区域,signaling_and_security,高满意用户,organic_search
161045ee99ad91883dbc1a6d26127785,新客一次性用户,东南核心经济区,electronics,低满意投诉风险,organic_search
1b4f0369610bd9e4d237aab3a993bdcd,新客一次性用户,东南核心经济区,fixed_telephony,高满意用户,organic_search
911420c471628353e4666a65eac5f0b7,潜力增长用户,其他区域,consoles_games,高满意用户,organic_search
fb9905dff73be7499c32a25c99961503,潜力增长用户,东南核心经济区,consoles_games,高满意用户,organic_search
4a87a0eb95dfb921f88334b7873d9410,新客一次性用户,东南核心经济区,consoles_games,中性用户,organic_search
cdf5d3222d200deac16e4b4c2e97b519,高价值核心用户,南部区域,consoles_games,中性用户,organic_search
b3b12bd3e740601c17700fc176996c6a,潜力增长用户,其他区域,cool_stuff,高满意用户,organic_search
42bb82a17b70bebcc6090d38d894ea3f,低价值流失风险用户,南部区域,consoles_games,高满意用户,organic_search
3050472410c271b388c03236d0bc6e75,新客一次性用户,东南核心经济区,watches_gifts,高满意用户,organic_search
4cc7a2f916c54cc32139b5481b4d611f,新客一次性用户,东南核心经济区,telephony,高满意用户,organic_search
faee0cb7b3e2c9fd9f57ec04cb70d51a,低价值流失风险用户,东南核心经济区,fixed_telephony,高满意用户,organic_search
9a745c47c228743d4a7bbb9c94e943e9,潜力增长用户,南部区域,consoles_games,高满意用户,organic_search
25c12681274a662fb98ea0eeef8405c2,新客一次性用户,东南核心经济区,electronics,中性用户,organic_search
bfecf4e7164c2af64001ea4bed8eea1e,低价值流失风险用户,南部区域,cool_stuff,高满意用户,organic_search
30fbea743f55c0f1d3090e9774a3d6ca,低价值流失风险用户,东南核心经济区,computers_accessories,低满意投诉风险,organic_search
9d16c341ca16f398e709ae9ce1203049,高价值核心用户,东南核心经济区,consoles_games,高满意用户,organic_search
0be2b81be62adccc0f01bd6dffb0dad4,新客一次性用户,南部区域,watches_gifts,低满意投诉风险,organic_search
73e06cdd33db85da3e3df5c0c8404718,潜力增长用户,东南核心经济区,cool_stuff,高满意用户,organic_search
1dc263ed63c9e97d12f3541f9c1e69dc,新客一次性用户,东南核心经济区,fixed_telephony,高满意用户,organic_search
75baf74d97b2339e14e57681073a42ef,潜力增长用户,其他区域,computers_accessories,高满意用户,organic_search
24e2f602477037622c685a7bfaad0c6a,低价值流失风险用户,南部区域,cool_stuff,高满意用户,organic_search
56153ce6acb6933c43d2215111c0b9cb,低价值流失风险用户,东南核心经济区,electronics,高满意用户,organic_search
3284abe5e684f230d6c239ed831f3cdf,新客一次性用户,其他区域,telephony,高满意用户,organic_search
58cc4d3f5e77f3ea1a9f93f1f751fac0,低价值流失风险用户,南部区域,consoles_games,高满意用户,organic_search
2e9727b083f9dab08e56c61cd949c364,新客一次性用户,南部区域,telephony,高满意用户,organic_search
eb1c357d7150030e58b2ad4cdbc1fb0f,潜力增长用户,东南核心经济区,cool_stuff,高满意用户,organic_search
2cb7447e1f39e0226cb412707cf38a09,新客一次性用户,东南核心经济区,watches_gifts,低满意投诉风险,organic_search
280689d14c5ea18e0170407d4c68b6a0,新客一次性用户,其他区域,electronics,高满意用户,organic_search
cbd80968cb96e3a59fcce491c3788b29,高价值核心用户,其他区域,telephony,高满意用户,organic_search
3623d890daeaa98627c13355885d1a88,新客一次性用户,南部区域,consoles_games,高满意用户,organic_search
25b117fcdbc20023b2bd7b6ae0b04535,新客一次性用户,南部区域,signaling_and_security,高满意用户,organic_search
57e500590bf158a6014686a544f36298,新客一次性用户,东南核心经济区,watches_gifts,高满意用户,organic_search
dc1a9007706c85acb1f1bc89d6fc1d16,高价值核心用户,东南核心经济区,watches_gifts,高满意用户,organic_search
b835dce98400fd0669dc5756e8fabb42,高价值核心用户,南部区域,watches_gifts,高满意用户,organic_search
76775cae519ccd4bba3182a88f444379,潜力增长用户,东南核心经济区,fixed_telephony,高满意用户,organic_search
709de197fcb34c63b216c3cafaf689cb,潜力增长用户,其他区域,watches_gifts,高满意用户,organic_search
116a414505bdc6407434a0ed928a47ad,新客一次性用户,东南核心经济区,computers_accessories,高满意用户,organic_search
65c563b14ed084517de63c0060ae266a,潜力增长用户,东南核心经济区,cool_stuff,高满意用户,organic_search
801c629f9d3579bddf589ec0328a4238,潜力增长用户,其他区域,cool_stuff,高满意用户,organic_search
bd00d85fe38ab7724a32f2608f8e39eb,高价值核心用户,东南核心经济区,telephony,高满意用户,organic_search
db8e95a7c8bbe135f190cb4866fd2404,高价值核心用户,其他区域,signaling_and_security,高满意用户,organic_search
bd503113c9696cd633021943b3d161b1,高价值核心用户,其他区域,baby,高满意用户,organic_search
f4d8c57bfbabb88c86d1a25df8cb21df,高价值核心用户,东南核心经济区,watches_gifts,高满意用户,organic_search
