customer_id,R最近消费间隔,F消费频次,M总消费金额,R分,F分,M分,RFM分层码,用户价值分层
0018c09f333634ca9c80d9ff46e43e9c,59,1,56.87,3,1,1,311,低价值流失风险用户
001df1ee5c36767aa607001ab1a13a06,24,1,42.86,5,1,1,511,新客一次性用户
001f150aebb5d897f2059b0460c38449,113,1,125.97,2,1,3,213,低价值流失风险用户
00205ad9ba1ef4340cef86583294cf82,109,1,928.7,2,1,5,215,低价值流失风险用户
002ce108ccf0356ef5c8b1dce3c0ae29,84,1,185.6,2,1,4,214,低价值流失风险用户
002ebb669a34b9e79c88efc755e95322,19,1,133.57,5,1,3,513,新客一次性用户
003177b3eeca50af17750f53802c9a09,52,1,133.81,3,1,4,314,低价值流失风险用户
00624707c8556199de70cac1593e7088,70,1,149.31,3,1,4,314,低价值流失风险用户
006431d77c665533ac99b501d8a6ab06,137,1,236.56,1,1,5,115,低价值流失风险用户
00785e4d6fd1ab53e7de20c730c070f1,80,1,128.97,3,1,3,313,低价值流失风险用户
0093eadfb5536c158311672bdf418044,64,1,137.93,3,1,4,314,低价值流失风险用户
00953228b409090c774d955f2ab881e5,7,1,118.35,5,1,3,513,新客一次性用户
0096dd625383caa8afe2c028018bf4ce,141,1,521.37,1,1,5,115,低价值流失风险用户
00aa3aa0438ac8a9e8a9378171ccd055,16,1,34.35,5,1,1,511,新客一次性用户
00abf30c1a93c7c8b509cb80a22e4dd8,44,1,188.39,4,1,4,414,新客一次性用户
00acc750f0c2bda99b95c4043ff1e662,114,1,99.9,2,1,3,213,低价值流失风险用户
00aee581138f207eb71f58811aae25d1,136,1,102.53,1,1,3,113,低价值流失风险用户
00b2fdba41164ba7de5052652fb86231,38,1,75.11,4,1,2,412,新客一次性用户
00ba24d5e8869fd25950fd26c098ee20,107,1,162.28,2,1,4,214,低价值流失风险用户
00f394e6fc446865ac4097b6db69ef4a,29,1,289.9,4,1,5,415,新客一次性用户
01016b17e79a0a428384c6916b426aed,184,1,160.76,1,1,4,114,低价值流失风险用户
0107c38d1ad737e7508cc65067b25d10,111,1,43.23,2,1,1,211,低价值流失风险用户
0117fcfe90f5c0df487c5eb4ae067aff,36,1,170.44,4,1,4,414,新客一次性用户
01214c5f31d06b6da030e5825b431446,10,1,60.42,5,1,2,512,新客一次性用户
014b7917072f3fe8c9ca37d4043c31d1,3,1,25.79,5,1,1,511,新客一次性用户
015c5e6d8c584992072dd7b69f2fad3e,100,1,61.14,2,1,2,212,低价值流失风险用户
015e106d9f62b30e48b97bac868b48e6,66,1,86.71,3,1,2,312,低价值流失风险用户
016b9c55722fc080b0cbf76d663449af,26,1,134.36,4,1,4,414,新客一次性用户
0179f2f4c32e0b0c2a4cb0d57e7d5a26,111,1,1308.18,2,1,5,215,低价值流失风险用户
018b4fd25720e7fb0de00600f3aa0947,26,1,81.96,4,1,2,412,新客一次性用户
018d655fe703cb7b56ee34f117429789,164,1,136.3,1,1,4,114,低价值流失风险用户
01998a22ca4b0c83aa13f2e8bec67c81,65,1,39.17,3,1,1,311,低价值流失风险用户
01aed44f9b372a8b9a40201cf7c155a3,29,1,118.62,4,1,3,413,新客一次性用户
01aefa3a069cf73167ddbe7725755c2c,118,1,27.79,2,1,1,211,低价值流失风险用户
01b4d8edfd68874d23092c8fcb6a4edb,75,1,33.13,3,1,1,311,低价值流失风险用户
01cf93cabf578892dc3217e6601b0cef,108,1,117.96,2,1,3,213,低价值流失风险用户
01d3b76b3d6604372075f8f2437b551f,25,1,134.04,5,1,4,514,新客一次性用户
01e3b59f83722a3b5c209feddd2a0b84,136,1,62.31,1,1,2,112,低价值流失风险用户
01ea69b195809e2a8a932de44d8c0f73,20,1,136.7,5,1,4,514,新客一次性用户
01ebd22baace52e484a1c52ff136ebe1,123,1,68.64,1,1,2,112,低价值流失风险用户
01f5c92b138f7260aeed5a7aea4d0af4,148,1,220.28,1,1,5,115,低价值流失风险用户
01fa535b377b96fe00287149f6f01441,82,1,117.57,3,1,3,313,低价值流失风险用户
020c3bb8476e9193550d4c308c1e45de,135,1,219.27,1,1,5,115,低价值流失风险用户
020d4e12b05970e098dff43d6589d7e2,174,1,560.65,1,1,5,115,低价值流失风险用户
020fff139f1af3a6dff28456f386fe2d,19,1,47.93,5,1,1,511,新客一次性用户
0214d81e1cb90cf47f40f5345a1a6c08,112,1,236.56,2,1,5,215,低价值流失风险用户
02181664d4e1d58da55ec4e8e1185eda,81,1,586.1,3,1,5,315,低价值流失风险用户
0225ea6650051752e6352a65f4316c49,104,1,71.78,2,1,2,212,低价值流失风险用户
022bc7ff7c20f7f9343a9fd58bcb3870,120,1,96.26,1,1,2,112,低价值流失风险用户
022bdd440f8a37e8ba62d67287135a75,155,1,142.92,1,1,4,114,低价值流失风险用户
023340b4cc63d20a56d1afa725970627,31,1,213.47,4,1,5,415,新客一次性用户
0238124998cd8eddd5b3ea04d4c1e658,17,1,56.1,5,1,1,511,新客一次性用户
02494bca3ed33bad80e43ba0fde023d8,90,1,39.16,2,1,1,211,低价值流失风险用户
0264bbda6bd6492c79a5843f7c2e1eb4,24,1,72.72,5,1,2,512,新客一次性用户
026ae2477af95b832998d23578eb4336,46,1,163.82,4,1,4,414,新客一次性用户
027711a554ce14c4bebd4af3bb803101,83,1,31.85,2,1,1,211,低价值流失风险用户
029be5fce165c111d15eb737d28d44b8,43,1,118.35,4,1,3,413,新客一次性用户
02b3a4bc391b7e1d2c99c46f9dbc4db9,52,1,81.1,3,1,2,312,低价值流失风险用户
02b5dc176731821cbf299ba7ac64053c,60,1,52.89,3,1,1,311,低价值流失风险用户
02b81e78d15d013c5de9a2e89ceddb0b,16,1,154.56,5,1,4,514,新客一次性用户
02bfd28debf51f86e1d6ef72c84075bd,128,1,99.43,1,1,3,113,低价值流失风险用户
02e3c16610531c771a70c55725f36cfc,135,1,110.0,1,1,3,113,低价值流失风险用户
031004fe0f92b09190fc8462ad2b4688,108,1,157.24,2,1,4,214,低价值流失风险用户
031c996d15d1e1b6bfe5abb0e4583e9b,186,1,125.52,1,1,3,113,低价值流失风险用户
0322f341d1346fa8ce5c28ef835f2f67,29,1,111.55,4,1,3,413,新客一次性用户
032ecf6afa4af219d338d03dd4f80f65,71,1,118.67,3,1,3,313,低价值流失风险用户
03318882e195c7e5aace9314477cf957,126,1,148.87,1,1,4,114,低价值流失风险用户
033854c6af774f85df06de2c9399589d,79,1,47.1,3,1,1,311,低价值流失风险用户
033f5ddbb536a477e81abd786f23f452,99,1,35.23,2,1,1,211,低价值流失风险用户
03440934dd266ec0b356eed6e0191612,149,1,571.73,1,1,5,115,低价值流失风险用户
039c5d6f330c73420f1658e63f67f0ff,28,1,29.77,4,1,1,411,新客一次性用户
039eebca4d46be9067692e9611a7207a,17,1,140.67,5,1,4,514,新客一次性用户
03a7750fc7a7bfbd7a84b2f4f26b92f1,73,1,198.1,3,1,4,314,低价值流失风险用户
03b243d7ac6a467982044dd9dddb4d68,45,1,583.15,4,1,5,415,新客一次性用户
03b400e08714b00279dfdc1356f6f03f,128,1,123.53,1,1,3,113,低价值流失风险用户
03b5f0e2f1c1973f3320bb65f511d2cb,83,1,143.75,2,1,4,214,低价值流失风险用户
03dfdec9ed6605bb41453c46fac2f2b1,23,1,176.34,5,1,4,514,新客一次性用户
0407c0b9473b07847c99aee965048870,8,1,85.58,5,1,2,512,新客一次性用户
0419615aa283aa971b6865c136a31868,112,1,235.92,2,1,5,215,低价值流失风险用户
043527f9eeb5ad04bacaae09a3604f66,100,1,115.78,2,1,3,213,低价值流失风险用户
043c9f38c68b4ec1c37c6145a2aa6257,10,1,25.23,5,1,1,511,新客一次性用户
045e763e2096b07525b1908bb365a0c6,71,1,77.25,3,1,2,312,低价值流失风险用户
04612c0745e93a575dac8d71974c805d,117,1,235.92,2,1,5,215,低价值流失风险用户
047965eae6564b51ea05b945966ec595,20,1,212.89,5,1,5,515,新客一次性用户
04a2fa019514345f6bcc37c892208336,107,1,247.51,2,1,5,215,低价值流失风险用户
04b289fc410f311df1bd8235f4fac2e0,120,1,56.87,1,1,1,111,低价值流失风险用户
04b3f667f21812ce42117db92b7dbe17,112,1,259.32,2,1,5,215,低价值流失风险用户
04ec1f28c6817bc2c08a76aca9ae9805,111,1,88.32,2,1,2,212,低价值流失风险用户
0501cdf44db4f060b106258dbea42f99,121,1,99.9,1,1,3,113,低价值流失风险用户
050e8225e588d2bbf4fa15f2f41a5c0d,124,1,99.9,1,1,3,113,低价值流失风险用户
0519065c0feb8da6ca9bd475784540c1,10,1,63.54,5,1,2,512,新客一次性用户
052de1fe665ac4765f9f00a663057442,19,1,571.95,5,1,5,515,新客一次性用户
0532c16fb3717ba27a99fd5492710144,72,1,27.49,3,1,1,311,低价值流失风险用户
053773e477b7af0d6678c1669b397cda,111,1,251.94,2,1,5,215,低价值流失风险用户
053c7943cf3218c20664c01973f729de,113,1,154.34,2,1,4,214,低价值流失风险用户
0547440e828d7b3fc00dc7cd355b9fba,7,1,103.2,5,1,3,513,新客一次性用户
054bd8842309379cd9f34431efde1239,166,1,28.29,1,1,1,111,低价值流失风险用户
055e90449730145d8428d60bf4914154,121,1,20.29,1,1,1,111,低价值流失风险用户
057212a7e2c0390b177a21009184b294,182,1,144.54,1,1,4,114,低价值流失风险用户
05e64f1361f11d937d6c2ccd3ec502bf,111,1,128.55,2,1,3,213,低价值流失风险用户
05f66300b5d8ee50ebe7f31fb7ab89dc,128,1,198.12,1,1,4,114,低价值流失风险用户
05f755716925c7f1c0aa42b4730e77a7,91,1,227.26,2,1,5,215,低价值流失风险用户
060011f2db60964bc59850b81b148351,132,1,52.46,1,1,1,111,低价值流失风险用户
060592398f1a2f3c13c369c7a37fc4e8,110,1,184.07,2,1,4,214,低价值流失风险用户
0609f5889f00803311ba52e9219c3872,29,1,77.08,4,1,2,412,新客一次性用户
060a46f3e1097e08371f2c8c7064156c,38,1,140.03,4,1,4,414,新客一次性用户
06199a7981ec145069afeb0baf66a49b,14,1,55.38,5,1,1,511,新客一次性用户
064e67871d53f3fbfd15385a0ca3a54b,18,1,188.66,5,1,4,514,新客一次性用户
0651e411f128c0cf8b813b7c133ace0f,9,1,66.67,5,1,2,512,新客一次性用户
066a9e746ce5eead40d2afa9bccd3d7d,12,1,394.31,5,1,5,515,新客一次性用户
0677520cd18a8ae626bd2b7ec8358d08,107,1,118.53,2,1,3,213,低价值流失风险用户
0681069ba05876a097555609e2496d1f,24,1,145.01,5,1,4,514,新客一次性用户
0687042f138418a235175398780d7d69,114,1,99.9,2,1,3,213,低价值流失风险用户
069540ac78a5bed2d5f836e7bf6b2c0b,112,1,122.27,2,1,3,213,低价值流失风险用户
06a2924116558070913fd36d2b01039c,10,1,62.25,5,1,2,512,新客一次性用户
06adb04df95e48dcd32284ef83e07c77,65,1,118.35,3,1,3,313,低价值流失风险用户
06d99479baac3413561b21bd7ac27767,119,1,135.66,1,1,4,114,低价值流失风险用户
06dcae7b409e7ee3098993674b02f1c4,100,1,216.31,2,1,5,215,低价值流失风险用户
06e663beae776e2f679ae6d7ccfd222e,150,1,169.64,1,1,4,114,低价值流失风险用户
06e724a40343b086ece691eb439a726b,15,1,208.42,5,1,4,514,新客一次性用户
06ebadeeb0acfedd1526d66bfb71b061,38,1,428.91,4,1,5,415,新客一次性用户
06ee09badc38b922a88d417e5134e3aa,40,1,106.45,4,1,3,413,新客一次性用户
06f94f3ddb4cda1e24b2ccb1bb853a9d,108,1,73.38,2,1,2,212,低价值流失风险用户
0707585f9631a5166364cf8730a8ecf2,66,1,74.12,3,1,2,312,低价值流失风险用户
070fcea536fbf0116b36ee9e900f360f,13,1,64.4,5,1,2,512,新客一次性用户
07176b181cc48bdaa6807f4a88e17d4a,72,1,215.81,3,1,5,315,低价值流失风险用户
07193e2fc8e6b8a63e6c080a3cff4d89,19,1,316.14,5,1,5,515,新客一次性用户
071ea3439c8c9148700ba643a50d0875,28,1,60.31,4,1,2,412,新客一次性用户
0748be2c32fadcd0e5618a5c5999ae27,63,1,103.34,3,1,3,313,低价值流失风险用户
0755ba88bf7e1c270f5a94264b17c603,43,1,109.98,4,1,3,413,新客一次性用户
076a95451d19c0d270b3174fde51bdc8,127,1,50.95,1,1,1,111,低价值流失风险用户
077b2a02936841f3f6d5af88d668004c,144,1,220.17,1,1,5,115,低价值流失风险用户
07a7e5b0029e354e4428f755cc1988bb,37,1,145.22,4,1,4,414,新客一次性用户
07b545f78bd2ddf9040417ad6eb72292,38,1,63.0,4,1,2,412,新客一次性用户
07bfe0aec1af7b20ba9de14bca33b0f9,96,1,40.39,2,1,1,211,低价值流失风险用户
07c6e5fcb00572b328e792042930c1b0,125,1,99.9,1,1,3,113,低价值流失风险用户
07cea6722ef8b8da55cd10460f04bcbe,31,1,75.4,4,1,2,412,新客一次性用户
07d2a5fdbee70f085319ad636a84e6cd,187,1,296.81,1,1,5,115,低价值流失风险用户
07de064ec1b736d53124c6275c05fee3,57,1,63.12,3,1,2,312,低价值流失风险用户
07e01746e8b90bfb4cab6ef323d33ab2,24,1,171.16,5,1,4,514,新客一次性用户
07eb1b14bb3ad0b4c5b5a5412d13eea1,44,1,104.85,4,1,3,413,新客一次性用户
07f530400b2eb436da476957706cd9be,45,1,52.38,4,1,1,411,新客一次性用户
07f96b6867d9a170014744b286362436,24,1,28.13,5,1,1,511,新客一次性用户
