mql_id,投放渠道,seller_id,order_id,product_id,customer_id,order_purchase_timestamp,order_status,payment_value,customer_city,customer_state,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,seller_city,seller_state,review_score,is_order,high_value_order
5420aad7fec3549a85876ba1c529bd84,organic_search,2c43fb513632d29b3b58df74816f1b06,1efcc6ba75b519535a510c53153a9256,e94df75b2e9a8b056be0c144a731f55c,27a878219114302047d41366ffeeba1e,2018-06-20 21:40:18,delivered,112.96,mococa,SP,pet_shop,625.0,23.0,17.0,19.0,pet_shop,belo horizonte,MG,5.0,1,0
5420aad7fec3549a85876ba1c529bd84,organic_search,2c43fb513632d29b3b58df74816f1b06,d8d281c1a1398a1e835fdc4adfb81e2a,9e0873e9ac04b12f282b81af5daebd2e,14c1e4101ca2dc7dbf876d9c9e6b11a6,2018-07-23 20:50:50,delivered,702.41,ribeirao preto,SP,ferramentas_jardim,2825.0,29.0,29.0,29.0,garden_tools,belo horizonte,MG,1.0,1,1
5420aad7fec3549a85876ba1c529bd84,organic_search,2c43fb513632d29b3b58df74816f1b06,e5858127da61f07285827883e605254b,9bb2d066e4b33b624cbdfec7d50b3dcb,bcd15e6f5399f2899de4482cf6783dae,2018-06-21 15:42:55,delivered,114.8,camanducaia,MG,pet_shop,900.0,26.0,19.0,23.0,pet_shop,belo horizonte,MG,5.0,1,0
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,0475d054d40280dfba750663c9ad7a0a,a86859b91d632c991b914aead6ec8ad4,5c232e92346113f68998cf6395eb457f,2018-07-24 17:25:33,delivered,63.59,nova prata,RS,sinalizacao_e_seguranca,450.0,16.0,5.0,16.0,signaling_and_security,novo hamburgo,RS,4.0,1,0
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,05104976125ea1e5cc04bc1f506a436a,63bfa27a0cee21fd896dc27f58b6d656,161045ee99ad91883dbc1a6d26127785,2018-08-14 11:44:44,delivered,217.22,rio de janeiro,RJ,eletronicos,475.0,20.0,11.0,19.0,electronics,novo hamburgo,RS,1.0,1,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,05f8021cf7217f1990addecad0e24b7a,d670c0f6be30a062ebd8f8612ea82d71,1b4f0369610bd9e4d237aab3a993bdcd,2018-08-10 20:50:51,delivered,198.25,sao jose dos campos,SP,telefonia_fixa,450.0,16.0,8.0,16.0,fixed_telephony,novo hamburgo,RS,4.0,1,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,087f003cb486254f7454eead9265e992,22a8168cf1f1c6347da8d29863b7f75e,911420c471628353e4666a65eac5f0b7,2018-06-22 11:58:33,delivered,316.26,serra,ES,consoles_games,155.0,16.0,7.0,14.0,consoles_games,novo hamburgo,RS,5.0,1,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,0be098c4a208559b0e6c96c3254481a7,22a8168cf1f1c6347da8d29863b7f75e,fb9905dff73be7499c32a25c99961503,2018-06-22 10:18:32,delivered,315.69,campinas,SP,consoles_games,155.0,16.0,7.0,14.0,consoles_games,novo hamburgo,RS,5.0,1,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,101625de5f3ea8064a2900b7b9235491,8ae7db511529da9af9685c9d0375bd82,4a87a0eb95dfb921f88334b7873d9410,2018-07-28 18:38:20,delivered,174.13,marica,RJ,consoles_games,1300.0,25.0,30.0,20.0,consoles_games,novo hamburgo,RS,3.0,1,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,1314746d24fc84d41f49777b0ad90c69,8ae7db511529da9af9685c9d0375bd82,cdf5d3222d200deac16e4b4c2e97b519,2018-08-09 23:41:23,delivered,170.28,tramandai,RS,consoles_games,1300.0,25.0,30.0,20.0,consoles_games,novo hamburgo,RS,3.0,1,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,16fcb558c864b7eb62bfbf4a55be23d2,96530fd162c17a87b70830cc5fb0f45c,b3b12bd3e740601c17700fc176996c6a,2018-06-26 19:48:15,delivered,117.41,maceio,AL,cool_stuff,200.0,24.0,4.0,18.0,cool_stuff,novo hamburgo,RS,5.0,1,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,197edbaa61a8a349f382553fd2180ee1,22a8168cf1f1c6347da8d29863b7f75e,42bb82a17b70bebcc6090d38d894ea3f,2018-07-02 13:58:59,delivered,306.16,novo hamburgo,RS,consoles_games,155.0,16.0,7.0,14.0,consoles_games,novo hamburgo,RS,4.0,1,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,1dfbad39bdbdc81e1419b9e1972cff46,64b4f32393cbf55be791078e7a2adca0,3050472410c271b388c03236d0bc6e75,2018-07-14 16:09:40,delivered,158.98,taubate,SP,relogios_presentes,50.0,16.0,8.0,16.0,watches_gifts,novo hamburgo,RS,4.0,1,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,1ff6ec2c3e9d8820643f43696482d2b9,fb19ac22e32dfecea21afbdde4b97b5f,4cc7a2f916c54cc32139b5481b4d611f,2018-07-24 00:14:31,delivered,246.61,carapicuiba,SP,telefonia,100.0,16.0,13.0,16.0,telephony,novo hamburgo,RS,5.0,1,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,21094f6fd8017c8b7339040142abea71,0a5ae82bab180da12f59a70b21605f92,faee0cb7b3e2c9fd9f57ec04cb70d51a,2018-07-24 18:10:05,delivered,80.63,osasco,SP,telefonia_fixa,850.0,16.0,8.0,16.0,fixed_telephony,novo hamburgo,RS,4.0,1,0
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,227881fdf69e55ab7906b7a818dd5e39,8ae7db511529da9af9685c9d0375bd82,9a745c47c228743d4a7bbb9c94e943e9,2018-06-27 18:48:48,delivered,175.17000000000002,lages,SC,consoles_games,1300.0,25.0,30.0,20.0,consoles_games,novo hamburgo,RS,5.0,1,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,24bf227d444a1df7957f78e6f03bc5b6,b7f7b781db33f7f78996fea3804d6766,25c12681274a662fb98ea0eeef8405c2,2018-07-23 12:27:09,delivered,114.77,campinas,SP,eletronicos,450.0,19.0,23.0,19.0,electronics,novo hamburgo,RS,3.0,1,0
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,2bb4f4b23284b2f435007ab797c29edc,ec5a5cf28e0fbef0c5391157203ab8ce,bfecf4e7164c2af64001ea4bed8eea1e,2018-08-13 13:42:52,delivered,59.16,curitiba,PR,cool_stuff,188.0,16.0,9.0,14.0,cool_stuff,novo hamburgo,RS,5.0,1,0
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,2eb8d7103527b48ed39070bd8cb2368e,268feec11ba1349f37164ab1b833aae8,30fbea743f55c0f1d3090e9774a3d6ca,2018-07-01 13:19:06,delivered,45.81,santo andre,SP,informatica_acessorios,100.0,20.0,7.0,17.0,computers_accessories,novo hamburgo,RS,1.0,1,0
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,31b0ad9590cbb7cce97820802ad69c6b,444ab88b25c5d6d2310be80ab1d60fad,9d16c341ca16f398e709ae9ce1203049,2018-08-15 17:35:07,delivered,286.89,jundiai,SP,consoles_games,550.0,17.0,8.0,17.0,consoles_games,novo hamburgo,RS,5.0,1,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,31c9a3f10eb368b62e102608adbec724,64b4f32393cbf55be791078e7a2adca0,0be2b81be62adccc0f01bd6dffb0dad4,2018-07-17 11:26:43,delivered,158.98,londrina,PR,relogios_presentes,50.0,16.0,8.0,16.0,watches_gifts,novo hamburgo,RS,1.0,1,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,351126ee473c51592cb591efea295181,d950221a89e7555306dc5daef996e134,73e06cdd33db85da3e3df5c0c8404718,2018-06-28 22:11:43,delivered,110.98,sao joao da boa vista,SP,cool_stuff,375.0,18.0,9.0,15.0,cool_stuff,novo hamburgo,RS,5.0,1,0
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,35cd360339571c02b1d4974ac1807d9c,3b2d562ba6c9d15492a868f38b896e84,1dc263ed63c9e97d12f3541f9c1e69dc,2018-08-13 12:30:06,delivered,86.58,sao paulo,SP,telefonia_fixa,900.0,21.0,8.0,22.0,fixed_telephony,novo hamburgo,RS,5.0,1,0
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,367d9f6d184cf1d060d92bdc71810d2e,0e632ab9f5b05a2703871a8f27e4e1a7,75baf74d97b2339e14e57681073a42ef,2018-07-21 11:21:29,delivered,533.76,ananindeua,PA,informatica_acessorios,400.0,16.0,8.0,16.0,computers_accessories,novo hamburgo,RS,5.0,1,1
