mql_id,投放渠道,seller_id,order_id,product_id,customer_id,order_purchase_timestamp,order_status,payment_value,customer_city,customer_state,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,seller_city,seller_state,review_score,is_order
dac32acd4db4c29c230538b72f8dd87d,social,,,,,,,,,,,,,,,,,,,0
8c18d1de7f67e60dbd64e3c07d7e9d5d,paid_search,,,,,,,,,,,,,,,,,,,0
b4bc852d233dfefc5131f593b538befa,organic_search,,,,,,,,,,,,,,,,,,,0
6be030b81c75970747525b843c1ef4f8,email,,,,,,,,,,,,,,,,,,,0
5420aad7fec3549a85876ba1c529bd84,organic_search,2c43fb513632d29b3b58df74816f1b06,1efcc6ba75b519535a510c53153a9256,e94df75b2e9a8b056be0c144a731f55c,27a878219114302047d41366ffeeba1e,2018-06-20 21:40:18,delivered,112.96,mococa,SP,pet_shop,625.0,23.0,17.0,19.0,pet_shop,belo horizonte,MG,5.0,1
5420aad7fec3549a85876ba1c529bd84,organic_search,2c43fb513632d29b3b58df74816f1b06,d8d281c1a1398a1e835fdc4adfb81e2a,9e0873e9ac04b12f282b81af5daebd2e,14c1e4101ca2dc7dbf876d9c9e6b11a6,2018-07-23 20:50:50,delivered,702.41,ribeirao preto,SP,ferramentas_jardim,2825.0,29.0,29.0,29.0,garden_tools,belo horizonte,MG,1.0,1
5420aad7fec3549a85876ba1c529bd84,organic_search,2c43fb513632d29b3b58df74816f1b06,e5858127da61f07285827883e605254b,9bb2d066e4b33b624cbdfec7d50b3dcb,bcd15e6f5399f2899de4482cf6783dae,2018-06-21 15:42:55,delivered,114.8,camanducaia,MG,pet_shop,900.0,26.0,19.0,23.0,pet_shop,belo horizonte,MG,5.0,1
28bdfd5f057764b54c38770f95c69f2f,organic_search,,,,,,,,,,,,,,,,,,,0
126a0d10becbaafcb2e72ce6848cf32c,email,,,,,,,,,,,,,,,,,,,0
f76136f54d14a3345951f25b7932366b,email,,,,,,,,,,,,,,,,,,,0
2f838cade4a6012a6cb1016d1d8d95ed,organic_search,,,,,,,,,,,,,,,,,,,0
7281942387a1a0c3f72a50a8b0bb0920,social,,,,,,,,,,,,,,,,,,,0
c534e2f89539e866011e1e75adfefbfb,unknown,,,,,,,,,,,,,,,,,,,0
c3764ab3fed8fbf556c87fdeaea744a9,paid_search,,,,,,,,,,,,,,,,,,,0
a555fb36b9368110ede0f043dfc3b9a0,referral,bbb7d7893a450660432ea6652310ebb7,,,,,,,,,,,,,,,,,,0
988c9372560f30a5f28f92640bb2b3da,organic_search,,,,,,,,,,,,,,,,,,,0
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,0475d054d40280dfba750663c9ad7a0a,a86859b91d632c991b914aead6ec8ad4,5c232e92346113f68998cf6395eb457f,2018-07-24 17:25:33,delivered,63.59,nova prata,RS,sinalizacao_e_seguranca,450.0,16.0,5.0,16.0,signaling_and_security,novo hamburgo,RS,4.0,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,05104976125ea1e5cc04bc1f506a436a,63bfa27a0cee21fd896dc27f58b6d656,161045ee99ad91883dbc1a6d26127785,2018-08-14 11:44:44,delivered,217.22,rio de janeiro,RJ,eletronicos,475.0,20.0,11.0,19.0,electronics,novo hamburgo,RS,1.0,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,05f8021cf7217f1990addecad0e24b7a,d670c0f6be30a062ebd8f8612ea82d71,1b4f0369610bd9e4d237aab3a993bdcd,2018-08-10 20:50:51,delivered,198.25,sao jose dos campos,SP,telefonia_fixa,450.0,16.0,8.0,16.0,fixed_telephony,novo hamburgo,RS,4.0,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,087f003cb486254f7454eead9265e992,22a8168cf1f1c6347da8d29863b7f75e,911420c471628353e4666a65eac5f0b7,2018-06-22 11:58:33,delivered,316.26,serra,ES,consoles_games,155.0,16.0,7.0,14.0,consoles_games,novo hamburgo,RS,5.0,1
327174d3648a2d047e8940d7d15204ca,organic_search,612170e34b97004b3ba37eae81836b4c,0be098c4a208559b0e6c96c3254481a7,22a8168cf1f1c6347da8d29863b7f75e,fb9905dff73be7499c32a25c99961503,2018-06-22 10:18:32,delivered,315.69,campinas,SP,consoles_games,155.0,16.0,7.0,14.0,consoles_games,novo hamburgo,RS,5.0,1
